Feature,Importance
regDate,0.4761244159686078
power,0.3237125672211482
model,0.05101072260505872
kilometer,0.03589548733535804
brand,0.027166779491375966
bodyType,0.01787170046335522
regionCode,0.015080292383055255
name,0.014047102512335003
SaleID,0.012945734039161105
creatDate,0.008265254765659282
gearbox,0.007577298125666659
fuelType,0.005899118715834535
notRepairedDamage,0.004403526373384325
