

Feature,Importance
regDate,3198.084589663699
kilometer,-1740.283544136276
gearbox,1666.8074791987028
bodyType,1157.547293895625
power,918.2391427596806
brand,-867.9242536423674
notRepairedDamage,-503.36815920478966
model,399.3630044251237
fuelType,254.71521935600308
regionCode,119.21269520595371
name,99.28109198002676
creatDate,40.390270417975614
SaleID,-1.8548939059274145
